"ev_takim","dep_takim","ev_sonuc","dep_sonuc","ev_topla_oynama","ev_ikili_mucadele_kazanma","ev_hava_topu","ev_pas_arasi","ev_ofsayt","ev_korner","dep_topla_oynama","dep_ikili_mucadele_kazanma","dep_hava_topu","dep_pas_arasi","dep_ofsayt","dep_korner","ev_pas","ev_uzun_pas","ev_pas_isabet","ev_rakip_yari_sahada_pas_isabeti","ev_orta","ev_orta_istabeti","dep_pas","dep_uzun_pas","dep_pas_isabet","dep_rakip_yari_sahada_pas_isabeti","dep_orta","dep_orta_istabeti","ev_gol","ev_sut","ev_isabetli_sut","ev_sut_engelleme","ev_ceza_sahasinin_disindan_sut","ev_ceza_sahasinin_icinden_sut","ev_sut_isabeti","dep_gol","dep_sut","dep_isabetli_sut","dep_sut_engelleme","dep_ceza_sahasi_disindan_sut","dep_ceza_sahasi_icinden_sut","dep_sut_isabeti","ev_top_kapma","ev_top_kapma_basarisi","ev_uzaklastirma","dep_top_kapma","dep_top_kapma_basarisi","dep_uzaklastirma","ev_faul","ev_sari_kart","ev_kirmizi_kart","dep_faul","dep_sari_kart","dep_kirmizi_kart"
"Alanyaspor","Kayserispor","1","2","%48,8","%48,1","%50,0","23","3","2","%51,2","%51,9","%50,0","14","0","9","417","73","%75,1","%65,4","17","%23,5","429","71","%75,5","%60,2","27","%14,8","1","6","5","0","3","3","%83,3","2","10","5","2","3","7","%50,0","17","%64,7","24","25","%76,0","22","13","3","1","10","3","0","2"
"Yeni Malatyaspor","Kayserispor","3","2","%39,5","%42,4","%39,1","13","3","3","%60,5","%57,6","%60,9","8","0","9","326","56","%78,5","%69,1","8","%12,5","495","50","%85,7","%71,7","23","%26,1","3","9","4","1","6","3","%44,4","2","19","11","2","10","9","%57,9","14","%71,4","26","24","%58,3","12","5","0","0","8","1","0","1"
"Göztepe","Yeni Malatyaspor","0","0","%58,1","%44,9","%37,9","13","3","8","%41,9","%55,1","%62,1","8","0","0","527","70","%83,5","%71,2","28","%17,9","397","68","%75,1","%66,8","8","%25,0","0","11","1","5","6","5","%9,1","0","11","2","2","7","4","%18,2","18","%61,1","21","18","%66,7","38","16","3","0","15","1","0","0"
"Alanyaspor","Osmanlıspor FK","1","1","%48,8","%54,7","%55,2","10","0","5","%51,2","%45,3","%44,8","11","1","3","308","73","%67,9","%52,3","24","%16,7","333","67","%70,0","%60,1","13","%15,4","1","13","3","5","4","9","%23,1","1","13","4","5","10","3","%30,8","22","%63,6","13","14","%78,6","32","17","6","0","22","2","0","0"
"Kayserispor","Kasımpaşa","3","2","%64,7","%45,5","%36,8","12","0","7","%35,3","%54,5","%63,2","14","1","2","509","59","%85,7","%73,5","35","%25,7","283","42","%76,3","%65,5","13","%30,8","3","18","5","5","6","12","%27,8","2","12","2","2","3","9","%16,7","13","%53,8","10","23","%69,6","38","10","2","0","7","1","1","1"
"Sivasspor","Konyaspor","2","1","%54,6","%60,7","%71,4","18","0","7","%45,4","%39,3","%28,6","10","1","2","463","78","%79,3","%66,8","26","%26,9","396","63","%76,5","%65,0","9","%11,1","2","15","11","2","4","11","%73,3","1","9","5","1","4","5","%55,6","15","%80,0","15","14","%71,4","22","12","0","0","18","2","0","1"
"Osmanlıspor FK","Trabzonspor","3","3","%43,9","%52,9","%58,3","7","1","6","%56,1","%47,1","%41,7","10","1","3","373","56","%74,0","%60,2","28","%25,0","498","70","%78,1","%65,2","13","%38,5","3","21","6","3","8","13","%28,6","3","13","7","1","4","9","%53,8","15","%60,0","18","17","%58,8","28","16","0","0","17","1","0","0"
"Akhisarspor","Antalyaspor","1","1","%64,5","%48,2","%51,2","7","4","11","%35,5","%51,8","%48,8","28","1","0","521","65","%78,3","%62,9","36","%16,7","304","63","%67,4","%59,4","6","%16,7","1","17","6","5","10","7","%35,3","1","2","1","0","1","1","%50,0","11","%72,7","9","19","%73,7","43","16","3","0","15","4","0","0"
"Beşiktaş","Bursaspor","2","1","%63,7","%51,2","%65,0","16","2","8","%36,3","%48,8","%35,0","8","1","4","516","49","%87,6","%78,6","35","%31,4","297","57","%69,0","%50,9","12","%16,7","2","18","8","5","10","8","%44,4","1","4","2","0","2","2","%50,0","13","%76,9","19","11","%81,8","29","18","2","0","13","3","0","1"
"Antalyaspor","Alanyaspor","3","1","%54,1","%55,7","%61,5","13","2","11","%45,9","%44,3","%38,5","9","1","5","431","52","%84,0","%75,4","20","%30,0","367","66","%76,3","%61,4","13","%15,4","3","21","10","2","11","10","%47,6","1","9","1","2","6","3","%11,1","27","%37,0","17","14","%78,6","18","18","5","0","18","2","0","1"
