"Kayserispor","İstanbul Başakşehir","0","1","%52,9","%54,1","%76,5","18","3","5","%47,1","%45,9","%23,5","15","0","4","352","71","%76,7","%65,9","18","%22,2","306","63","%73,9","%60,7","23","%30,4","0","14","4","6","6","8","%28,6","1","11","3","1","2","9","%27,3","13","%69,2","12","20","%80,0","17","17","0","0","23","3","0","2"
"Gaziantepspor","Eskişehirspor","1","1","%43,3","%50,9","%51,5","30","0","8","%56,7","%49,1","%48,5","13","3","4","294","60","%66,3","%56,3","23","%13,0","388","64","%70,9","%61,8","24","%16,7","1","12","6","3","7","5","%50,0","1","8","1","2","3","5","%12,5","16","%87,5","33","15","%80,0","28","15","1","0","20","1","0","0"
"Galatasaray","Kasımpaşa","4","1","%52,7","%48,2","%37,1","12","3","4","%47,3","%51,8","%62,9","20","4","3","447","68","%79,9","%69,0","11","%36,4","397","56","%82,4","%74,9","16","%31,3","4","10","6","0","2","8","%60,0","1","19","6","4","9","10","%31,6","19","%57,9","18","12","%100,0","10","17","1","0","19","2","0","1"
"Akhisarspor","Gençlerbirliği","1","0","%57,3","%52,3","%43,6","22","3","7","%42,7","%47,7","%56,4","23","1","4","484","55","%83,1","%70,1","36","%22,2","376","67","%75,5","%66,4","10","%10,0","1","15","7","2","8","7","%46,7","0","11","1","4","8","3","%9,1","18","%88,9","15","15","%86,7","20","15","2","0","21","2","0","1"
"Gaziantepspor","Bursaspor","2","3","%52,3","%55,3","%60,0","21","3","5","%47,7","%44,7","%40,0","34","0","5","360","79","%65,0","%58,0","18","%27,8","328","98","%65,2","%55,2","17","%23,5","2","15","7","2","8","7","%46,7","3","9","4","3","4","5","%44,4","12","%66,7","24","16","%68,8","19","13","3","0","18","3","0","2"
"Beşiktaş","Fenerbahçe","3","2","%43,9","%48,3","%62,1","4","2","3","%56,1","%51,7","%37,9","20","3","9","344","57","%74,1","%63,9","18","%33,3","427","43","%83,4","%68,1","29","%24,1","3","7","2","0","3","4","%28,6","2","12","3","2","4","8","%25,0","17","%70,6","24","18","%72,2","16","19","3","0","21","1","0","1"
"Beşiktaş","Eskişehirspor","3","1","%63,4","%51,2","%73,7","22","2","6","%36,6","%48,8","%26,3","14","1","2","609","47","%87,5","%79,4","23","%30,4","355","62","%73,8","%58,2","13","%15,4","3","17","9","2","5","12","%52,9","1","9","3","3","6","3","%33,3","15","%80,0","14","11","%100,0","23","16","0","0","11","3","0","1"
"Akhisarspor","Mersin İdmanyurdu","2","0","%40,4","%54,0","%57,1","20","1","1","%59,6","%46,0","%42,9","11","5","5","339","82","%71,1","%64,2","8","%12,5","484","68","%79,5","%67,0","26","%19,2","2","12","4","2","7","5","%33,3","0","10","3","3","4","6","%30,0","16","%87,5","32","10","%70,0","14","15","2","0","18","2","1","1"
"Konyaspor","Sivasspor","2","1","%42,0","%54,8","%55,2","21","2","4","%58,0","%45,2","%44,8","18","0","7","327","59","%68,5","%57,5","16","%18,8","449","100","%75,7","%63,4","21","%9,5","2","13","7","3","5","8","%53,8","1","14","4","3","8","6","%28,6","21","%76,2","17","16","%87,5","25","13","2","0","20","4","0","1"
"Kayserispor","Beşiktaş","1","2","%51,2","%47,0","%52,6","30","1","10","%48,8","%53,0","%47,4","32","2","3","426","41","%80,8","%72,9","38","%28,9","430","65","%76,7","%68,3","10","%10,0","1","21","7","4","12","9","%33,3","2","5","3","0","2","3","%60,0","21","%66,7","10","24","%70,8","24","15","0","0","14","2","0","2"
"Kayserispor","Eskişehirspor","0","0","%58,7","%48,1","%46,2","20","2","7","%41,3","%51,9","%53,8","16","1","5","396","69","%79,8","%67,7","22","%27,3","278","66","%64,0","%53,5","16","%25,0","0","15","2","4","8","7","%13,3","0","10","4","1","5","5","%40,0","18","%72,2","20","22","%81,8","21","19","3","0","15","0","0","0"
"Galatasaray","İstanbul Başakşehir","3","3","%64,9","%40,9","%13,0","20","0","5","%35,1","%59,1","%87,0","17","5","2","656","63","%88,9","%80,1","26","%15,4","360","59","%74,7","%62,7","9","%44,4","3","18","8","5","9","9","%44,4","3","10","5","0","2","8","%50,0","12","%83,3","7","17","%82,4","24","13","3","0","18","4","0","0"
"Gençlerbirliği","Kayserispor","2","0","%40,8","%39,1","%41,2","25","4","3","%59,2","%60,9","%58,8","13","1","5","278","69","%70,1","%62,5","7","%14,3","383","70","%73,4","%61,2","35","%25,7","2","10","4","1","2","8","%40,0","0","12","4","1","6","6","%33,3","6","%83,3","34","9","%77,8","14","23","1","0","18","5","0","1"
"Trabzonspor","Kasımpaşa","0","6","%43,5","%47,2","%46,2","13","1","1","%56,5","%52,8","%53,8","16","1","7","420","52","%84,0","%67,6","4","%0,0","537","47","%88,5","%72,7","19","%10,5","0","3","1","1","3","0","%33,3","6","14","9","2","3","11","%64,3","9","%88,9","15","23","%87,0","5","8","2","0","19","2","0","2"
"Akhisarspor","İstanbul Başakşehir","0","0","%47,0","%42,9","%37,2","25","0","2","%53,0","%57,1","%62,8","27","0","6","416","79","%68,0","%58,7","15","%13,3","460","66","%70,2","%61,6","25","%12,0","0","10","4","1","5","5","%40,0","0","14","4","5","7","7","%28,6","11","%72,7","34","15","%40,0","10","20","4","0","17","2","0","0"
"Gaziantepspor","Akhisarspor","0","1","%51,1","%51,5","%55,4","16","1","4","%48,9","%48,5","%44,6","27","2","3","388","96","%63,1","%52,3","18","%5,6","369","93","%66,1","%57,0","18","%33,3","0","11","2","3","5","6","%18,2","1","10","5","2","2","8","%50,0","11","%81,8","25","19","%73,7","31","20","3","0","21","2","0","2"
"Eskişehirspor","Sivasspor","4","2","%39,7","%44,9","%31,6","17","3","2","%60,3","%55,1","%68,4","16","0","8","331","62","%76,4","%62,4","7","%14,3","496","56","%81,5","%70,3","20","%20,0","4","11","6","1","3","8","%54,5","2","18","11","1","5","13","%61,1","23","%87,0","22","16","%56,3","8","20","2","0","12","3","0","1"
"Bursaspor","Galatasaray","1","1","%39,4","%51,5","%54,8","18","0","6","%60,6","%48,5","%45,2","16","1","7","371","57","%79,0","%70,6","29","%31,0","594","58","%84,8","%75,4","22","%18,2","1","21","6","6","11","10","%28,6","1","13","4","2","3","10","%30,8","20","%75,0","15","15","%80,0","16","15","0","0","11","2","0","0"
"Trabzonspor","Kayserispor","2","1","%44,6","%56,4","%54,8","23","4","6","%55,4","%43,6","%45,2","18","1","10","335","74","%71,0","%65,5","18","%33,3","406","52","%77,1","%67,5","35","%11,4","2","18","7","4","12","6","%38,9","1","21","7","7","12","9","%33,3","17","%76,5","21","15","%73,3","16","14","5","0","23","1","0","1"
"Kasımpaşa","Galatasaray","2","2","%54,5","%53,4","%66,7","23","1","7","%45,5","%46,6","%33,3","13","2","3","464","66","%82,3","%70,3","32","%25,0","394","76","%74,4","%67,1","12","%25,0","2","23","8","4","8","15","%34,8","2","12","6","3","5","7","%50,0","11","%81,8","11","18","%61,1","23","18","1","0","18","2","0","0"
"İstanbul Başakşehir","Mersin İdmanyurdu","3","0","%36,6","%47,7","%36,8","26","7","4","%63,4","%52,3","%63,2","14","1","2","329","64","%74,5","%63,1","16","%12,5","587","63","%83,6","%75,8","14","%28,6","3","8","4","2","2","6","%50,0","0","11","4","2","8","3","%36,4","19","%78,9","12","12","%66,7","10","19","1","0","11","2","0","1"
"Eskişehirspor","Mersin İdmanyurdu","3","2","%45,5","%54,3","%61,9","24","3","5","%54,5","%45,7","%38,1","18","4","5","369","70","%76,2","%63,2","25","%28,0","450","58","%76,9","%64,1","20","%20,0","3","13","6","1","5","8","%46,2","2","6","4","1","4","2","%66,7","11","%90,9","28","14","%92,9","13","15","3","0","13","1","0","1"
