"ev_takim","dep_takim","ev_sonuc","dep_sonuc","ev_topla_oynama","ev_ikili_mucadele_kazanma","ev_hava_topu","ev_pas_arasi","ev_ofsayt","ev_korner","dep_topla_oynama","dep_ikili_mucadele_kazanma","dep_hava_topu","dep_pas_arasi","dep_ofsayt","dep_korner","ev_pas","ev_uzun_pas","ev_pas_isabet","ev_rakip_yari_sahada_pas_isabeti","ev_orta","ev_orta_istabeti","dep_pas","dep_uzun_pas","dep_pas_isabet","dep_rakip_yari_sahada_pas_isabeti","dep_orta","dep_orta_istabeti","ev_gol","ev_sut","ev_isabetli_sut","ev_sut_engelleme","ev_ceza_sahasinin_disindan_sut","ev_ceza_sahasinin_icinden_sut","ev_sut_isabeti","dep_gol","dep_sut","dep_isabetli_sut","dep_sut_engelleme","dep_ceza_sahasi_disindan_sut","dep_ceza_sahasi_icinden_sut","dep_sut_isabeti","ev_top_kapma","ev_top_kapma_basarisi","ev_uzaklastirma","dep_top_kapma","dep_top_kapma_basarisi","dep_uzaklastirma","ev_faul","ev_sari_kart","ev_kirmizi_kart","dep_faul","dep_sari_kart","dep_kirmizi_kart"
"Göztepe","Sivasspor","3","3","%49,2","%47,0","%50,0","10","3","6","%50,8","%53,0","%50,0","5","4","1","438","59","%80,6","%68,7","21","%38,1","464","61","%80,6","%72,0","9","%22,2","3","20","8","3","5","15","%40,0","3","9","4","1","6","3","%44,4","13","%69,2","6","16","%62,5","20","14","1","1","10","0","0","0"
"Alanyaspor","Sivasspor","2","0","%50,4","%53,9","%53,8","17","5","8","%49,6","%46,1","%46,2","11","0","2","436","61","%81,0","%68,8","23","%43,5","434","52","%78,6","%70,5","12","%25,0","2","19","8","4","3","16","%42,1","0","9","0","1","5","4","%0,0","16","%62,5","20","12","%83,3","16","13","0","0","15","3","0","1"
"İstanbul Başakşehir","Alanyaspor","1","1","%57,1","%42,3","%27,3","9","2","5","%42,9","%57,7","%72,7","13","3","6","550","47","%84,9","%75,8","10","%20,0","401","49","%82,3","%76,4","19","%42,1","1","11","4","2","4","7","%36,4","1","17","7","0","3","14","%41,2","14","%50,0","9","15","%66,7","19","12","0","0","9","0","0","0"
"BB Erzurumspor","Antalyaspor","1","0","%61,8","%44,1","%35,5","7","2","7","%38,2","%55,9","%64,5","8","1","3","524","57","%84,5","%74,4","19","%26,3","324","52","%73,1","%58,4","13","%38,5","1","13","1","4","10","3","%7,7","0","7","1","1","3","4","%14,3","13","%46,2","14","17","%82,4","21","12","3","0","12","0","0","1"
"Yeni Malatyaspor","Kasımpaşa","2","1","%50,7","%54,0","%50,0","12","3","12","%49,3","%46,0","%50,0","18","1","4","428","67","%74,3","%62,4","23","%21,7","424","43","%82,1","%72,8","15","%26,7","2","12","5","3","6","6","%41,7","1","12","6","3","6","6","%50,0","18","%77,8","9","13","%61,5","24","9","3","0","15","5","0","1"
"Sivasspor","Fenerbahçe","0","0","%46,4","%45,1","%41,7","4","1","3","%53,6","%54,9","%58,3","6","3","4","400","69","%78,0","%63,3","24","%20,8","465","58","%81,5","%70,3","22","%27,3","0","17","4","7","12","5","%23,5","0","13","4","0","5","8","%30,8","15","%66,7","27","9","%77,8","37","14","2","0","15","1","0","0"
"Bursaspor","Galatasaray","2","3","%44,4","%40,2","%38,0","8","1","5","%55,6","%59,8","%62,0","9","1","3","373","65","%73,2","%60,3","25","%16,0","471","62","%80,0","%67,7","20","%30,0","2","13","5","2","4","9","%38,5","3","10","3","1","3","7","%30,0","19","%63,2","22","14","%64,3","26","14","2","0","8","6","0","2"
"BB Erzurumspor","Sivasspor","4","2","%45,3","%48,8","%48,6","19","1","2","%54,7","%51,2","%51,4","9","1","5","330","69","%74,5","%56,0","13","%15,4","393","61","%76,6","%68,1","19","%31,6","4","12","6","3","5","7","%50,0","2","18","6","3","6","12","%33,3","21","%76,2","12","21","%57,1","19","16","2","0","13","5","0","1"
"Alanyaspor","Çaykur Rizespor","1","1","%41,1","%49,1","%50,0","16","1","5","%58,9","%50,9","%50,0","19","4","6","328","59","%72,9","%62,4","23","%17,4","490","58","%80,8","%68,0","12","%50,0","1","16","5","3","5","11","%31,3","1","11","3","4","1","10","%27,3","18","%44,4","14","18","%61,1","15","14","3","0","17","1","0","0"
"Alanyaspor","İstanbul Başakşehir","1","1","%33,0","%56,1","%57,6","16","4","1","%67,0","%43,9","%42,4","7","5","3","300","53","%77,0","%66,7","16","%25,0","633","77","%84,7","%75,7","12","%25,0","1","13","7","0","5","8","%53,8","1","12","6","1","6","6","%50,0","22","%72,7","18","14","%64,3","9","13","3","1","12","2","0","0"
"Kayserispor","Akhisarspor","1","0","%51,6","%48,1","%56,1","7","3","3","%48,4","%51,9","%43,9","6","4","6","440","66","%79,3","%68,6","16","%31,3","408","78","%78,2","%66,8","19","%10,5","1","13","5","2","6","7","%38,5","0","6","2","1","1","5","%33,3","11","%72,7","19","13","%76,9","23","19","2","0","8","1","0","1"
"MKE Ankaragücü","Akhisarspor","1","0","%39,8","%42,3","%41,9","9","0","2","%60,2","%57,7","%58,1","16","4","12","342","78","%68,7","%51,8","12","%0,0","505","59","%82,6","%70,8","32","%15,6","1","7","1","3","5","2","%14,3","0","12","4","0","7","5","%33,3","8","%62,5","27","11","%63,6","21","19","2","0","11","3","0","1"
"Çaykur Rizespor","Beşiktaş","2","7","%59,8","%49,0","%45,2","11","6","3","%40,2","%51,0","%54,8","10","2","2","528","58","%81,1","%74,4","24","%41,7","366","61","%75,4","%69,4","5","%40,0","2","19","6","4","7","12","%31,6","7","11","11","0","5","6","%100,0","14","%57,1","4","15","%46,7","26","8","1","0","10","2","0","2"
"Trabzonspor","Antalyaspor","4","1","%61,0","%47,2","%33,3","13","1","8","%39,0","%52,8","%66,7","11","3","1","530","72","%84,0","%74,9","31","%25,8","346","40","%76,9","%63,5","10","%30,0","4","21","7","7","7","14","%33,3","1","12","3","1","8","4","%25,0","23","%65,2","11","21","%71,4","23","12","1","0","12","1","0","1"
"Alanyaspor","Göztepe","1","0","%45,3","%39,5","%35,9","18","1","5","%54,7","%60,5","%64,1","8","4","8","397","61","%76,1","%62,9","16","%18,8","484","62","%80,6","%71,8","12","%16,7","1","9","2","3","6","3","%22,2","0","10","2","5","5","5","%20,0","17","%70,6","21","19","%63,2","22","16","2","0","12","2","0","1"
"Göztepe","Antalyaspor","4","1","%52,1","%46,8","%44,0","8","2","6","%47,9","%53,2","%56,0","5","1","0","477","51","%86,4","%76,7","13","%38,5","441","54","%85,0","%69,9","12","%58,3","4","17","11","5","7","10","%64,7","1","9","1","4","5","4","%11,1","11","%72,7","12","12","%50,0","14","7","0","0","9","4","1","1"
"Alanyaspor","BB Erzurumspor","2","1","%53,5","%49,5","%45,7","9","6","6","%46,5","%50,5","%54,3","8","0","2","421","54","%81,9","%70,6","24","%29,2","377","64","%73,7","%63,5","10","%20,0","2","18","6","4","3","15","%33,3","1","6","3","1","1","5","%50,0","10","%50,0","16","16","%62,5","22","13","1","0","21","2","0","1"
"Göztepe","Kasımpaşa","0","0","%56,4","%56,7","%57,9","18","3","7","%43,6","%43,3","%42,1","13","2","1","444","51","%79,1","%67,9","32","%34,4","348","56","%73,0","%60,7","17","%23,5","0","12","2","2","4","8","%16,7","0","4","2","1","2","2","%50,0","24","%45,8","20","28","%71,4","24","14","1","0","25","3","0","0"
"Kasımpaşa","BB Erzurumspor","2","1","%41,3","%53,6","%61,3","12","2","6","%58,7","%46,4","%38,7","8","0","4","374","49","%79,7","%69,6","16","%12,5","534","50","%86,0","%72,0","19","%21,1","2","19","5","5","12","7","%26,3","1","13","3","4","5","8","%23,1","21","%57,1","21","11","%100,0","17","15","1","0","11","1","0","1"
"Göztepe","Trabzonspor","1","3","%55,2","%48,6","%45,5","13","0","10","%44,8","%51,4","%54,5","13","0","3","479","51","%80,0","%65,3","28","%14,3","401","41","%80,3","%72,8","11","%27,3","1","8","1","1","6","2","%12,5","3","12","6","1","7","5","%50,0","18","%61,1","9","16","%56,3","41","13","2","0","9","1","0","2"
